timestamp,ssid,device_connected,ping_successful
1608548131.9401214,The Village Reserve,1,1
1608548328.9309354,The Village Reserve,1,1
1608548995.8686352,The Village Reserve,1,1
1608552596.1443849,The Village Reserve,1,1
1608556196.109056,The Village Reserve,1,1
1608559796.092177,The Village Reserve,1,1
1608563396.0438974,The Village Reserve,1,1
1608566995.9742246,The Village Reserve,1,1
1608570595.9293494,The Village Reserve,1,1
1608574195.9204035,The Village Reserve,1,1
1608577795.9125588,The Village Reserve,1,1
1608581395.9474401,The Village Reserve,1,1
1608584995.9638574,The Village Reserve,1,1
1608588595.9120007,The Village Reserve,1,1
1608592195.9055867,The Village Reserve,1,1
1608595795.9819825,The Village Reserve,1,1
1608599395.8947682,The Village Reserve,1,1
1608602995.9888272,The Village Reserve,1,1
1608606595.9564536,The Village Reserve,1,1
1608610283.0998583,The Village Reserve,1,1
1608613882.6748388,The Village Reserve,1,1
1608617482.7487147,The Village Reserve,1,1
1608621082.7192311,The Village Reserve,1,1
1608624682.9280488,The Village Reserve,1,1
1608628282.6793666,The Village Reserve,1,1
1608631882.6753764,The Village Reserve,1,1
1608635482.637584,The Village Reserve,1,1
1608639082.6551042,The Village Reserve,1,1
1608642682.6481724,The Village Reserve,1,1
1608646282.6481693,The Village Reserve,1,1
1608649882.6812155,The Village Reserve,1,1
1608653482.672992,The Village Reserve,1,1
1608657083.9563355,The Village Reserve,1,1
1608660682.8854551,The Village Reserve,1,1
1608664282.7503026,The Village Reserve,1,1
1608667882.6741278,The Village Reserve,1,1
1608671482.6615267,The Village Reserve,1,1
1608675082.75339,The Village Reserve,1,1
1608683493.942596,The Village Reserve,1,1
1608687095.6974494,The Village Reserve,1,1
1608694379.5771456,The Village Reserve,1,1
1608697979.8530207,The Village Reserve,1,1
1608701145.0473187,The Village Reserve,1,1
1608705172.8515759,The Village Reserve,1,1
1608707900.6836665,The Village Reserve,1,1
1608711501.7966104,The Village Reserve,1,1
1608715100.7251718,The Village Reserve,1,1
1608718700.6877496,The Village Reserve,1,1
1608722300.7582998,The Village Reserve,1,1
1608725901.8650465,The Village Reserve,1,1
1608729500.683556,The Village Reserve,1,1
1608733100.7799196,The Village Reserve,1,1
1608736701.903053,The Village Reserve,1,1
1608740300.954587,The Village Reserve,1,1
1608743900.776704,The Village Reserve,1,1
1608747500.7890549,The Village Reserve,1,1
1608751100.7660527,The Village Reserve,1,1
1608754700.7048843,The Village Reserve,1,1
1608758300.7617412,The Village Reserve,1,1
1608761901.910202,The Village Reserve,1,1
1608765500.8919954,The Village Reserve,1,1
1608769100.7214155,The Village Reserve,1,1
1608772700.775758,The Village Reserve,1,1
1608776300.7795863,The Village Reserve,1,1
1608779900.9610698,The Village Reserve,1,1
1608783500.767472,The Village Reserve,1,1
1608787102.0529304,The Village Reserve,1,1
1608790700.6897755,The Village Reserve,1,1
1608794300.7782893,The Village Reserve,1,1
1608797900.7934237,The Village Reserve,1,1
1608801500.7742937,The Village Reserve,1,1
1608805100.7535458,The Village Reserve,1,1
1608808700.7407353,The Village Reserve,1,1
1608812300.734193,The Village Reserve,1,1
1608815900.771089,The Village Reserve,1,1
1608819500.7225714,The Village Reserve,1,1
1608823100.6969798,The Village Reserve,1,1
1608826700.7459688,The Village Reserve,1,1
1608830300.6844878,The Village Reserve,1,1
